Region  Seed  Team
West  1 Gonzaga
West  2 Iowa
West  3 Kansas
West  4 Virginia
West  5 Creighton
West  6 USC
West  7 Oregon
West  8 Oklahoma
West  9 Missouri
West  10  VCU
West  11  Wichita State / Drake
West  12  UCSB
West  13  Ohio
West  14  Eastern Washington
West  15  Grand Canyon
West  16  Norfolk State / Appalachian State
East  1 Michigan
East  2 Alabama
East  3 Texas
East  4 Florida State
East  5 Colorado
East  6 BYU
East  7 Connecticut
East  8 LSU
East  9 St. Bonaventure
East  10  Maryland
East  11  Michigan State / UCLA
East  12  Georgetown
East  13  UNC Greensboro
East  14  Abilene Christian
East  15  Iona
East  16  Mount St. Mary's / Texas Southern
South 1 Baylor
South 2 Ohio State
South 3 Arkansas
South 4 Purdue
South 5 Villanova
South 6 Texas Tech
South 7 Florida
South 8 North Carolina
South 9 Wisconsin
South 10  Virginia Tech
South 11  Utah State
South 12  Winthrop
South 13  North Texas
South 14  Colgate
South 15  Oral Roberts
South 16  Hartford
Midwest 1 Illinois
Midwest 2 Houston
Midwest 3 West Virginia
Midwest 4 Oklahoma State
Midwest 5 Tennessee
Midwest 6 San Diego State
Midwest 7 Clemson
Midwest 8 Loyola Chicago
Midwest 9 Georgia Tech
Midwest 10  Rutgers
Midwest 11  Syracuse
Midwest 12  Oregon State
Midwest 13  Liberty
Midwest 14  Morehead State
Midwest 15  Cleveland State
Midwest 16  Drexel
